"Filed.week.ended","Initial.Claims","Reflecting.Week.Ended","Continued.Claims","Covered.Employment","Insured.Unemployment.Rate","Initial.Claims.Rate","Continued.Claims.Rate","WeekOfYear","Month","Quarter","Year"
1987-01-03,44887,1986-12-27,377230,11046965,3.41,0.00406328797094949,0.0341478406059945,1,"Jan",1,1987
1987-01-10,68898,1987-01-03,437386,11135129,3.93,0.00618744515667488,0.0392798323216552,2,"Jan",1,1987
1987-01-17,68145,1987-01-10,432612,11135129,3.89,0.00611982133300836,0.0388510990757269,3,"Jan",1,1987
1987-01-24,58492,1987-01-17,395795,11135129,3.55,0.00525292522430589,0.0355447161860451,4,"Jan",1,1987
1987-01-31,64568,1987-01-24,425489,11135129,3.82,0.00579858571912369,0.038211411830074,5,"Jan",1,1987
1987-02-07,72071,1987-01-31,412947,11135129,3.71,0.0064723991971714,0.0370850665492964,6,"Feb",1,1987
1987-02-14,54451,1987-02-07,374532,11135129,3.36,0.00489001968454968,0.033635173871807,7,"Feb",1,1987
1987-02-21,56222,1987-02-14,398093,11135129,3.58,0.00504906588868436,0.0357510900861589,8,"Feb",1,1987
1987-02-28,61177,1987-02-21,433242,11135129,3.89,0.00549405399793752,0.0389076767768025,9,"Feb",1,1987
1987-03-07,56918,1987-02-28,436707,11135129,3.92,0.00511157077749167,0.0392188541327182,10,"Mar",1,1987
1987-03-14,57885,1987-03-07,421668,11135129,3.79,0.00519841305834894,0.0378682635827569,11,"Mar",1,1987
1987-03-28,50249,1987-03-21,424580,11135129,3.81,0.00451265539896305,0.0381297782899507,13,"Mar",1,1987
1987-04-04,48366,1987-03-28,428137,11135129,3.84,0.00434355093685938,0.0384492177863409,14,"Apr",2,1987
1987-04-11,48003,1987-04-04,400007,11196578,3.57,0.00428729206370018,0.0357258262301214,15,"Apr",2,1987
1987-04-18,46969,1987-04-11,395688,11196578,3.53,0.0041949424190141,0.0353400833719017,16,"Apr",2,1987
1987-04-25,43910,1987-04-18,379960,11196578,3.39,0.00392173394406755,0.0339353684670441,17,"Apr",2,1987
1987-05-02,43739,1987-04-25,373220,11196578,3.33,0.00390646142062334,0.0333333988295352,18,"May",2,1987
1987-05-09,48358,1987-05-02,342721,11196578,3.06,0.00431899817962238,0.0306094415633062,19,"May",2,1987
1987-05-16,46701,1987-05-09,355004,11196578,3.17,0.0041710065343179,0.0317064731742145,20,"May",2,1987
1987-05-23,42300,1987-05-16,344380,11196578,3.08,0.00377794000988516,0.0307576118346159,21,"May",2,1987
1987-05-30,33020,1987-05-23,300558,11196578,2.68,0.00294911534577797,0.0268437374347769,22,"May",2,1987
1987-06-06,47893,1987-05-30,335481,11196578,3,0.00427746763341442,0.0299628154244985,23,"Jun",2,1987
1987-06-13,45134,1987-06-06,311930,11196578,2.79,0.00403105305924721,0.0278594049003187,24,"Jun",2,1987
1987-06-20,47060,1987-06-13,312580,11196578,2.79,0.00420306990225049,0.0279174583520072,25,"Jun",2,1987
1987-06-27,47371,1987-06-20,307520,11196578,2.75,0.00423084624605839,0.0274655345588625,26,"Jun",2,1987
1987-08-01,46914,1987-07-25,316097,11292780,2.8,0.00415433577914384,0.0279910704007339,31,"Aug",3,1987
1987-08-08,46900,1987-08-01,301700,11292780,2.67,0.00415309604897997,0.026716185031498,32,"Aug",3,1987
1987-08-15,44001,1987-08-08,311007,11292780,2.75,0.00389638335290336,0.0275403399340109,33,"Aug",3,1987
1987-08-22,41102,1987-08-15,298014,11292780,2.64,0.00363967065682675,0.0263897817897807,34,"Aug",3,1987
1987-08-29,42530,1987-08-22,295730,11292780,2.62,0.00376612313354196,0.02618752866876,35,"Aug",3,1987
1987-09-05,42201,1987-08-29,291006,11292780,2.58,0.00373698947469091,0.0257692082906069,36,"Sep",3,1987
1987-09-12,36633,1987-09-05,266042,11292780,2.36,0.00324393107808706,0.0235585923041094,37,"Sep",3,1987
1987-09-19,42642,1987-09-12,294123,11292780,2.6,0.00377604097485296,0.0260452253563781,38,"Sep",3,1987
1987-09-26,41570,1987-09-19,273340,11292780,2.42,0.00368111306516199,0.0242048459281063,39,"Sep",3,1987
1987-10-03,44095,1987-09-26,271105,11292780,2.4,0.00390470725543223,0.0240069318626592,40,"Oct",4,1987
1987-10-10,50233,1987-10-03,267217,11405409,2.34,0.00440431377778736,0.0234289712889735,41,"Oct",4,1987
1987-10-17,42574,1987-10-10,261608,11405409,2.29,0.00373279029274619,0.0229371870837775,42,"Oct",4,1987
1987-10-24,49858,1987-10-17,276758,11405409,2.43,0.00437143464123031,0.0242655042006823,43,"Oct",4,1987
1987-10-31,49262,1987-10-24,283573,11405409,2.49,0.00431917873352898,0.0248630277090458,44,"Oct",4,1987
1987-11-07,58334,1987-10-31,284001,11405409,2.49,0.00511459080511712,0.0249005537635695,45,"Nov",4,1987
1987-11-14,49298,1987-11-07,275034,11405409,2.41,0.00432233513063845,0.0241143478502174,46,"Nov",4,1987
1987-11-21,59126,1987-11-14,326983,11405409,2.87,0.0051840315415256,0.0286691165568898,47,"Nov",4,1987
1987-11-28,40062,1987-11-21,264550,11405409,2.32,0.0035125439166627,0.0231951348697798,48,"Nov",4,1987
