_id,Area Type,Area Name,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
1,State,California,01/03/1987,44887,12/27/1986,377230,11046965,3.41
2,State,California,01/10/1987,68898,01/03/1987,437386,11135129,3.93
3,State,California,01/17/1987,68145,01/10/1987,432612,11135129,3.89
4,State,California,01/24/1987,58492,01/17/1987,395795,11135129,3.55
5,State,California,01/31/1987,64568,01/24/1987,425489,11135129,3.82
6,State,California,02/07/1987,72071,01/31/1987,412947,11135129,3.71
7,State,California,02/14/1987,54451,02/07/1987,374532,11135129,3.36
8,State,California,02/21/1987,56222,02/14/1987,398093,11135129,3.58
9,State,California,02/28/1987,61177,02/21/1987,433242,11135129,3.89
10,State,California,03/07/1987,56918,02/28/1987,436707,11135129,3.92
11,State,California,03/14/1987,57885,03/07/1987,421668,11135129,3.79
12,State,California,03/28/1987,50249,03/21/1987,424580,11135129,3.81
13,State,California,04/04/1987,48366,03/28/1987,428137,11135129,3.84
14,State,California,04/11/1987,48003,04/04/1987,400007,11196578,3.57
15,State,California,04/18/1987,46969,04/11/1987,395688,11196578,3.53
16,State,California,04/25/1987,43910,04/18/1987,379960,11196578,3.39
17,State,California,05/02/1987,43739,04/25/1987,373220,11196578,3.33
18,State,California,05/09/1987,48358,05/02/1987,342721,11196578,3.06
19,State,California,05/16/1987,46701,05/09/1987,355004,11196578,3.17
20,State,California,05/23/1987,42300,05/16/1987,344380,11196578,3.08
21,State,California,05/30/1987,33020,05/23/1987,300558,11196578,2.68
22,State,California,06/06/1987,47893,05/30/1987,335481,11196578,3
23,State,California,06/13/1987,45134,06/06/1987,311930,11196578,2.79
24,State,California,06/20/1987,47060,06/13/1987,312580,11196578,2.79
25,State,California,06/27/1987,47371,06/20/1987,307520,11196578,2.75
26,State,California,08/01/1987,46914,07/25/1987,316097,11292780,2.8
27,State,California,08/08/1987,46900,08/01/1987,301700,11292780,2.67
28,State,California,08/15/1987,44001,08/08/1987,311007,11292780,2.75
29,State,California,08/22/1987,41102,08/15/1987,298014,11292780,2.64
30,State,California,08/29/1987,42530,08/22/1987,295730,11292780,2.62
31,State,California,09/05/1987,42201,08/29/1987,291006,11292780,2.58
32,State,California,09/12/1987,36633,09/05/1987,266042,11292780,2.36
33,State,California,09/19/1987,42642,09/12/1987,294123,11292780,2.6
34,State,California,09/26/1987,41570,09/19/1987,273340,11292780,2.42
35,State,California,10/03/1987,44095,09/26/1987,271105,11292780,2.4
36,State,California,10/10/1987,50233,10/03/1987,267217,11405409,2.34
37,State,California,10/17/1987,42574,10/10/1987,261608,11405409,2.29
38,State,California,10/24/1987,49858,10/17/1987,276758,11405409,2.43
39,State,California,10/31/1987,49262,10/24/1987,283573,11405409,2.49
40,State,California,11/07/1987,58334,10/31/1987,284001,11405409,2.49
41,State,California,11/14/1987,49298,11/07/1987,275034,11405409,2.41
42,State,California,11/21/1987,59126,11/14/1987,326983,11405409,2.87
43,State,California,11/28/1987,40062,11/21/1987,264550,11405409,2.32
44,State,California,12/05/1987,61607,11/28/1987,329680,11405409,2.89
45,State,California,12/12/1987,55646,12/05/1987,321063,11405409,2.82
46,State,California,12/19/1987,53021,12/12/1987,339583,11405409,2.98
47,State,California,12/26/1987,42990,12/19/1987,297096,11405409,2.6
48,State,California,01/02/1988,45887,12/26/1987,317551,11405409,2.78
49,State,California,01/09/1988,64535,01/02/1988,381471,11627940,3.28
50,State,California,01/16/1988,56699,01/09/1988,377196,11627940,3.24
51,State,California,01/23/1988,51369,01/16/1988,343306,11627940,2.95
52,State,California,01/30/1988,52103,01/23/1988,371296,11627940,3.19
53,State,California,02/06/1988,59015,01/30/1988,349729,11627940,3.01
54,State,California,02/13/1988,52550,02/06/1988,307630,11627940,2.65
55,State,California,02/20/1988,55975,02/13/1988,332468,11627940,2.86
56,State,California,02/27/1988,53034,02/20/1988,385882,11627940,3.32
57,State,California,03/05/1988,56883,02/27/1988,354260,11627940,3.05
58,State,California,03/12/1988,50988,03/05/1988,371561,11627940,3.2
59,State,California,03/19/1988,48614,03/12/1988,349220,11627940,3
60,State,California,03/26/1988,48896,03/19/1988,375625,11627940,3.23
61,State,California,04/02/1988,45144,03/26/1988,352515,11627940,3.03
62,State,California,04/09/1988,45835,04/02/1988,359784,11746041,3.06
63,State,California,04/16/1988,42793,04/09/1988,343807,11746046,2.93
64,State,California,04/23/1988,50390,04/16/1988,349270,11946041,2.92
65,State,California,04/30/1988,44752,04/23/1988,334202,11746041,2.85
66,State,California,05/07/1988,50858,04/30/1988,342301,11746041,2.91
67,State,California,05/14/1988,50180,05/07/1988,335540,11740041,2.86
68,State,California,05/21/1988,47872,05/14/1988,350328,11746041,2.98
69,State,California,05/28/1988,41614,05/21/1988,312391,11746041,2.66
70,State,California,06/04/1988,38798,05/28/1988,309464,11746041,2.63
71,State,California,06/11/1988,47450,06/04/1988,308955,11746041,2.63
72,State,California,06/18/1988,47180,06/11/1988,316230,11746041,2.69
73,State,California,06/25/1988,51387,06/18/1988,303160,11746041,2.58
74,State,California,07/02/1988,46765,06/25/1988,313518,11746041,2.67
75,State,California,07/09/1988,42148,07/02/1988,289743,11845731,2.45
76,State,California,07/16/1988,44240,07/09/1988,319826,11845731,2.7
77,State,California,07/23/1988,48818,07/16/1988,317850,11845731,2.68
78,State,California,07/30/1988,44815,07/23/1988,316434,11845731,2.67
79,State,California,08/06/1988,46726,07/30/1988,313724,11845731,2.65
80,State,California,08/13/1988,45568,08/06/1988,314521,11845731,2.66
81,State,California,08/20/1988,41793,08/13/1988,309149,11845731,2.61
82,State,California,08/27/1988,41370,08/20/1988,311750,11845731,2.63
83,State,California,09/03/1988,42640,08/27/1988,304720,11845731,2.57
84,State,California,09/10/1988,36468,09/03/1988,281047,11845731,2.37
85,State,California,09/17/1988,42359,09/10/1988,295869,11845731,2.5
86,State,California,09/24/1988,44941,09/17/1988,286528,11845731,2.42
87,State,California,10/01/1988,44040,09/24/1988,275474,11845731,2.33
88,State,California,10/08/1988,44655,10/01/1988,277240,11925635,2.32
89,State,California,10/15/1988,39110,10/08/1988,263471,11925635,2.21
90,State,California,10/22/1988,45634,10/15/1988,288928,11925635,2.42
91,State,California,10/29/1988,46058,10/22/1988,275101,11925635,2.31
92,State,California,11/05/1988,51960,10/29/1988,292102,11925635,2.45
93,State,California,11/12/1988,44948,11/05/1988,266934,11925635,2.24
94,State,California,11/19/1988,58592,11/12/1988,311031,11925635,2.61
95,State,California,11/26/1988,34489,11/19/1988,268456,11925635,2.25
96,State,California,12/03/1988,58101,11/26/1988,357635,11925635,3
97,State,California,12/10/1988,51635,12/03/1988,327696,11925635,2.75
98,State,California,12/17/1988,45559,12/10/1988,334430,11925635,2.8
99,State,California,12/24/1988,55890,12/17/1988,326538,11925635,2.74
100,State,California,12/31/1988,45655,12/24/1988,307414,11925635,2.58
101,State,California,01/07/1989,49646,12/31/1988,347647,11925635,2.92
102,State,California,01/14/1989,54091,01/07/1989,375542,11914294,3.15
103,State,California,01/21/1989,46667,01/14/1989,350950,11914294,2.95
104,State,California,01/28/1989,55400,01/21/1989,376036,11914294,3.16
105,State,California,02/04/1989,52461,01/28/1989,360163,11914294,3.02
106,State,California,02/11/1989,60148,02/04/1989,347689,11914294,2.92
107,State,California,02/18/1989,48656,02/11/1989,346822,11914294,2.91
108,State,California,02/25/1989,47121,02/18/1989,377037,11914294,3.16
109,State,California,03/04/1989,52372,02/25/1989,381904,11914294,3.21
110,State,California,03/11/1989,57492,03/04/1989,387458,11914294,3.25
111,State,California,03/18/1989,51643,03/11/1989,387026,11914294,3.25
112,State,California,03/25/1989,48103,03/18/1989,395088,11914294,3.32
113,State,California,04/01/1989,47544,03/25/1989,372050,11914294,3.12
114,State,California,04/08/1989,47367,04/01/1989,374661,11914294,3.14
115,State,California,04/15/1989,44622,04/08/1989,346109,12053309,2.87
116,State,California,04/22/1989,47544,04/15/1989,372050,11914294,3.12
117,State,California,04/29/1989,47971,04/22/1989,336190,12053309,2.79
118,State,California,05/06/1989,49951,04/29/1989,333041,12053309,2.76
119,State,California,05/13/1989,46887,05/06/1989,316921,12058309,2.63
120,State,California,05/20/1989,42751,05/13/1989,315090,12053309,2.61
121,State,California,05/27/1989,41605,05/20/1989,310818,12053309,2.58
122,State,California,06/03/1989,39089,05/27/1989,281865,12053309,2.34
123,State,California,06/10/1989,50264,06/03/1989,305913,12053309,2.54
124,State,California,06/17/1989,47456,06/10/1989,293204,12053309,2.43
125,State,California,06/24/1989,50245,06/17/1989,307783,12053309,2.55
126,State,California,07/01/1989,49268,06/24/1989,298936,12053309,2.48
127,State,California,07/08/1989,42000,07/01/1989,272000,12053309,2.26
128,State,California,07/15/1989,49573,07/08/1989,319842,12204045,2.62
129,State,California,07/22/1989,47656,07/15/1989,317467,12204045,2.6
130,State,California,07/29/1989,46585,07/22/1989,312370,12204045,2.56
131,State,California,08/05/1989,47810,07/29/1989,307289,12204045,2.52
132,State,California,08/12/1989,46964,08/05/1989,307718,12204045,2.52
133,State,California,08/19/1989,43796,08/12/1989,308345,12204045,2.53
134,State,California,08/26/1989,41089,08/19/1989,306068,12204045,2.51
135,State,California,09/02/1989,41324,08/26/1989,302891,12204045,2.48
136,State,California,09/09/1989,38215,09/02/1989,282574,12204045,2.32
137,State,California,09/16/1989,45068,09/09/1989,301688,12204045,2.47
138,State,California,09/23/1989,51056,09/16/1989,293723,12204045,2.41
139,State,California,09/30/1989,46281,09/23/1989,288790,12204045,2.37
140,State,California,10/07/1989,52820,09/30/1989,287710,12204045,2.36
141,State,California,10/14/1989,41635,10/07/1989,254441,12322780,2.06
142,State,California,10/21/1989,52306,10/14/1989,293693,12322780,2.38
143,State,California,10/28/1989,64204,10/21/1989,281415,12322780,2.28
